seq,anomaly_score,decision
0,0.000000,ALLOW
1,0.000000,ALLOW
2,0.000000,ALLOW
3,0.000000,ALLOW
4,0.000000,ALLOW
5,0.000000,ALLOW
6,0.000000,ALLOW
7,0.000000,ALLOW
8,0.000000,ALLOW
9,0.000000,ALLOW
10,0.000000,ALLOW
11,0.000000,ALLOW
12,0.000000,ALLOW
13,0.000000,ALLOW
14,2.000000,ALLOW
15,1.800000,ALLOW
16,1.620000,ALLOW
17,1.458000,ALLOW
18,1.312200,ALLOW
19,1.180980,ALLOW
20,1.062882,ALLOW
21,0.956594,ALLOW
22,0.860934,ALLOW
23,0.774841,ALLOW
24,0.697357,ALLOW
25,0.627621,ALLOW
26,0.564859,ALLOW
27,0.508373,ALLOW
28,2.332536,ALLOW
29,3.599282,ALLOW
30,3.239354,ALLOW
31,2.915419,ALERT
32,2.623877,ALLOW
33,2.361489,ALLOW
34,2.125340,ALLOW
35,1.912806,ALLOW
36,1.721526,ALLOW
37,1.549373,ALLOW
38,1.394436,ALLOW
39,1.254992,ALLOW
40,1.129493,ALLOW
41,1.016544,ALLOW
42,0.914889,ALLOW
43,0.823400,ALLOW
44,0.741060,ALLOW
45,0.666954,ALLOW
46,0.600259,ALLOW
47,0.540233,ALLOW
48,0.486210,ALLOW
49,0.437589,ALLOW
50,0.393830,ALLOW
51,0.354447,ALLOW
52,0.319002,ALLOW
53,0.287102,ALLOW
54,1.591725,ALLOW
55,1.432553,ALLOW
56,1.289297,ALLOW
57,1.160368,ALLOW
58,1.044331,ALLOW
59,2.368469,ALLOW
60,3.631622,ALLOW
61,3.268460,ALLOW
62,2.941614,ALLOW
63,2.647453,ALLOW
64,2.382707,ALLOW
65,2.144437,ALLOW
66,1.929993,ALLOW
67,1.736994,ALLOW
68,1.563294,ALLOW
69,1.406965,ALLOW
70,1.266268,ALLOW
71,1.139642,ALLOW
72,1.025677,ALLOW
73,2.478665,ALLOW
74,2.230799,ALLOW
75,3.607719,ALLOW
76,3.246947,ALLOW
77,2.922252,ALLOW
78,2.630027,ALLOW
79,2.367024,ALLOW
80,2.130322,ALLOW
81,1.917290,ALLOW
82,1.725561,ALLOW
83,1.553005,ALLOW
84,1.397704,ALLOW
85,2.857934,ALLOW
86,2.572140,ALLOW
87,2.314926,ALLOW
88,2.083434,ALLOW
89,1.875090,ALLOW
90,1.687581,ALLOW
91,1.518823,ALLOW
92,1.366941,ALLOW
93,1.230247,ALLOW
94,1.107222,ALLOW
95,0.996500,ALLOW
96,0.896850,ALLOW
97,0.807165,ALLOW
98,2.326448,ALLOW
99,2.093804,ALLOW
100,1.884423,ALLOW
101,1.695981,ALLOW
102,1.526383,ALLOW
103,1.373745,ALLOW
104,1.236370,ALLOW
105,1.112733,ALLOW
106,1.001460,ALLOW
107,0.901314,ALLOW
108,0.811182,ALLOW
109,0.730064,ALLOW
110,0.657058,ALLOW
111,0.591352,ALLOW
112,0.532217,ALLOW
113,0.478995,ALLOW
114,0.431096,ALLOW
115,0.387986,ALLOW
116,0.349187,ALLOW
117,0.314269,ALLOW
118,0.282842,ALLOW
119,0.254558,ALLOW
120,1.829102,ALLOW
121,1.646192,ALLOW
122,1.481573,ALLOW
123,1.333415,ALLOW
124,1.200074,ALLOW
125,1.080066,ALLOW
126,0.972060,ALLOW
127,0.874854,ALLOW
128,0.787368,ALLOW
129,0.708632,ALLOW
130,0.637768,ALLOW
131,0.573992,ALLOW
132,0.516592,ALLOW
133,0.464933,ALLOW
134,0.418440,ALLOW
135,2.026596,ALLOW
136,1.823936,ALLOW
137,1.641543,ALLOW
138,1.477388,ALLOW
139,3.179650,ALLOW
140,2.861685,ALLOW
141,2.575516,ALLOW
142,2.317965,ALLOW
143,2.086168,ALLOW
144,1.877551,ALLOW
145,1.689796,ALLOW
146,1.520817,ALLOW
147,1.368735,ALLOW
148,1.231861,ALLOW
149,1.108675,ALLOW
150,0.997808,ALLOW
151,0.898027,ALLOW
152,0.808224,ALLOW
153,0.727402,ALLOW
154,2.654662,ALLOW
155,2.389195,ALLOW
156,2.150276,ALLOW
157,1.935248,ALLOW
158,1.741724,ALLOW
159,1.567551,ALLOW
160,1.410796,ALLOW
161,1.269716,ALLOW
162,1.142745,ALLOW
163,3.028470,ALLOW
164,4.725623,ALLOW
165,4.253061,ALLOW
166,3.827755,ALLOW
167,3.444979,ALLOW
168,3.100481,ALLOW
169,4.790433,ALLOW
170,6.311390,ALLOW
171,5.680251,ALLOW
172,5.112226,ALLOW
173,4.601003,ALLOW
174,4.140903,ALLOW
175,3.726813,ALLOW
176,3.354131,ALLOW
177,3.018718,ALLOW
178,2.716846,ALLOW
179,2.445162,ALLOW
180,2.200646,ALLOW
181,1.980581,ALLOW
182,1.782523,ALLOW
183,1.604271,ALLOW
184,1.443844,ALLOW
185,1.299459,ALLOW
186,1.169513,ALLOW
187,1.052562,ALLOW
188,0.947306,ALLOW
189,0.852575,ALLOW
190,0.767318,ALLOW
191,0.690586,ALLOW
192,0.621527,ALLOW
193,0.559375,ALLOW
194,0.503437,ALLOW
195,2.453093,ALLOW
196,2.207784,ALLOW
