seq,anomaly_score,decision
0,0.000000,ALLOW
1,0.000000,ALLOW
2,0.000000,ALLOW
3,0.000000,ALLOW
4,0.000000,ALLOW
5,0.000000,ALLOW
6,0.000000,ALLOW
7,0.000000,ALLOW
8,0.000000,ALLOW
9,0.000000,ALLOW
10,0.000000,ALLOW
11,0.000000,ALLOW
12,0.000000,ALLOW
13,0.000000,ALLOW
14,0.000000,ALLOW
15,0.000000,ALLOW
16,0.000000,ALLOW
17,0.000000,ALLOW
18,0.000000,ALLOW
19,0.000000,ALLOW
20,0.000000,ALLOW
21,0.000000,ALLOW
22,0.000000,ALLOW
23,0.000000,ALLOW
24,0.000000,ALLOW
25,0.000000,ALLOW
26,0.000000,ALLOW
27,0.000000,ALLOW
28,1.500000,ALLOW
29,2.475000,ALLOW
30,3.427500,ALLOW
31,3.084750,ALLOW
32,2.776275,ALERT
33,3.831981,ALLOW
34,4.877354,ALLOW
35,4.389619,ALLOW
36,5.450657,ALLOW
37,4.905591,ALLOW
38,4.415032,ALLOW
39,5.529084,ALLOW
40,6.576176,ALLOW
41,7.518558,ALLOW
42,8.366703,ALLOW
43,9.280032,ALLOW
44,8.352029,ALLOW
45,7.516826,ALLOW
46,6.765144,ALLOW
47,6.088629,ALLOW
48,7.429766,ALLOW
49,6.686790,ALLOW
50,6.018111,ALLOW
51,5.416300,ALLOW
52,4.874670,ALLOW
53,4.387203,ALLOW
54,5.948482,ALLOW
55,5.353634,ALLOW
56,6.818271,ALLOW
57,6.136444,ALLOW
58,5.522799,ALLOW
59,4.970519,ALLOW
60,4.473467,ALLOW
61,4.026121,ALLOW
62,3.623509,ALLOW
63,3.261158,ALLOW
64,4.935042,ALLOW
65,4.441538,ALLOW
66,5.997384,ALLOW
67,5.397646,ALLOW
68,4.857881,ALLOW
69,4.372093,ALLOW
70,3.934884,ALLOW
71,3.541395,ALLOW
72,3.187256,ALLOW
73,2.868530,ALLOW
74,2.581677,ALLOW
75,2.323509,ALLOW
76,2.091159,ALLOW
77,1.882043,ALLOW
78,1.693838,ALLOW
79,3.524455,ALLOW
80,5.172009,ALLOW
81,4.654808,ALLOW
82,6.189327,ALLOW
83,5.570395,ALLOW
84,7.013355,ALLOW
85,8.312020,ALLOW
86,7.480818,ALLOW
87,6.732736,ALLOW
88,6.059462,ALLOW
89,5.453516,ALLOW
90,4.908164,ALLOW
91,4.417348,ALLOW
92,3.975613,ALLOW
93,3.578052,ALLOW
94,5.220247,ALLOW
95,4.698222,ALLOW
96,4.228400,ALLOW
97,5.805560,ALLOW
98,7.225004,ALLOW
99,6.502503,ALLOW
100,7.852253,ALLOW
101,7.067028,ALLOW
102,6.360325,ALLOW
103,7.724293,ALLOW
104,6.951863,ALLOW
105,6.256677,ALLOW
106,7.631009,ALLOW
107,8.867908,ALLOW
108,9.981117,ALLOW
109,8.983006,ALLOW
110,8.084705,ALLOW
111,7.276235,ALLOW
112,6.548611,ALLOW
113,5.893750,ALLOW
114,5.304375,ALLOW
115,6.773938,ALLOW
116,6.096544,ALLOW
117,5.486889,ALLOW
118,4.938200,ALLOW
119,6.444380,ALLOW
120,7.799942,ALLOW
121,7.019948,ALLOW
122,6.317953,ALLOW
123,7.686158,ALLOW
124,6.917542,ALLOW
125,8.225788,ALLOW
126,7.403209,ALLOW
127,6.662888,ALLOW
128,5.996599,ALLOW
129,5.396939,ALLOW
130,6.857246,ALLOW
131,6.171521,ALLOW
132,5.554369,ALLOW
133,4.998932,ALLOW
134,4.499039,ALLOW
135,4.049135,ALLOW
136,5.644221,ALLOW
137,5.079799,ALLOW
138,4.571819,ALLOW
139,4.114637,ALLOW
140,5.703174,ALLOW
141,5.132856,ALLOW
142,4.619571,ALLOW
143,4.157614,ALLOW
144,3.741852,ALLOW
145,5.367667,ALLOW
146,6.830900,ALLOW
147,6.147810,ALLOW
148,5.533029,ALLOW
149,4.979726,ALLOW
150,4.481754,ALLOW
151,6.033578,ALLOW
152,5.430220,ALLOW
153,4.887198,ALLOW
154,6.398479,ALLOW
155,5.758631,ALLOW
156,5.182768,ALLOW
157,4.664491,ALLOW
158,4.198042,ALLOW
159,3.778238,ALLOW
160,3.400414,ALLOW
161,3.060372,ALLOW
162,4.754335,ALLOW
163,6.278902,ALLOW
164,5.651012,ALLOW
165,7.085910,ALLOW
166,6.377319,ALLOW
167,7.739587,ALLOW
168,6.965629,ALLOW
169,6.269066,ALLOW
170,5.642159,ALLOW
171,7.077943,ALLOW
172,6.370149,ALLOW
173,5.733134,ALLOW
174,5.159821,ALLOW
175,4.643839,ALLOW
176,4.179455,ALLOW
177,5.761509,ALLOW
178,5.185358,ALLOW
179,4.666823,ALLOW
180,4.200140,ALLOW
181,3.780126,ALLOW
182,3.402114,ALLOW
183,3.061902,ALLOW
184,4.755712,ALLOW
185,6.280141,ALLOW
186,5.652127,ALLOW
187,5.086914,ALLOW
188,6.578223,ALLOW
189,5.920400,ALLOW
190,7.328360,ALLOW
191,6.595524,ALLOW
192,5.935972,ALLOW
193,7.342375,ALLOW
194,8.608137,ALLOW
195,7.747324,ALLOW
196,6.972591,ALLOW
