seq,anomaly_score,decision
0,0.000000,ALLOW
1,0.000000,ALLOW
2,0.000000,ALLOW
3,0.000000,ALLOW
4,0.000000,ALLOW
5,0.000000,ALLOW
6,0.000000,ALLOW
7,0.000000,ALLOW
8,0.000000,ALLOW
9,0.000000,ALLOW
10,0.000000,ALLOW
11,0.000000,ALLOW
12,2.000000,ALLOW
13,1.800000,ALLOW
14,1.620000,ALLOW
15,1.458000,ALLOW
16,1.312200,ALLOW
17,3.180980,ALLOW
18,2.862882,ALLOW
19,2.576594,ALLOW
20,2.318934,ALLOW
21,4.087041,ALLOW
22,3.678337,ALLOW
23,3.310503,ALERT
24,2.979453,ALLOW
25,2.681508,ALLOW
26,2.413357,ALLOW
27,2.172021,ALLOW
28,3.954819,ALLOW
29,5.345051,ALLOW
30,4.810546,ALLOW
31,4.329492,ALLOW
32,5.646542,ALLOW
33,5.081888,ALLOW
34,4.573699,ALLOW
35,4.116329,ALLOW
36,5.482474,ALLOW
37,4.934227,ALLOW
38,4.440804,ALLOW
39,3.996724,ALLOW
40,3.597051,ALLOW
41,3.237346,ALLOW
42,4.713612,ALLOW
43,4.242250,ALLOW
44,3.818025,ALLOW
45,5.236223,ALLOW
46,4.712601,ALLOW
47,6.041341,ALLOW
48,5.437206,ALLOW
49,4.893486,ALLOW
50,4.404137,ALLOW
51,5.763724,ALLOW
52,5.187351,ALLOW
53,4.668616,ALLOW
54,6.001754,ALLOW
55,5.401579,ALLOW
56,4.861421,ALLOW
57,6.175279,ALLOW
58,7.357751,ALLOW
59,8.571976,ALLOW
60,7.714778,ALLOW
61,6.943301,ALLOW
62,6.248970,ALLOW
63,5.624073,ALLOW
64,5.061666,ALLOW
65,4.555499,ALLOW
66,4.099950,ALLOW
67,3.689955,ALLOW
68,3.320959,ALLOW
69,2.988863,ALLOW
70,2.689977,ALLOW
71,2.420979,ALLOW
72,2.178881,ALLOW
73,1.960993,ALLOW
74,1.764894,ALLOW
75,3.588404,ALLOW
76,5.229564,ALLOW
77,6.706608,ALLOW
78,6.035947,ALLOW
79,5.432352,ALLOW
80,4.889117,ALLOW
81,4.400205,ALLOW
82,3.960185,ALLOW
83,3.564166,ALLOW
84,3.207750,ALLOW
85,4.886975,ALLOW
86,4.398277,ALLOW
87,5.958449,ALLOW
88,5.362605,ALLOW
89,4.826344,ALLOW
90,4.343710,ALLOW
91,3.909339,ALLOW
92,3.518405,ALLOW
93,3.166564,ALLOW
94,2.849908,ALLOW
95,4.564917,ALLOW
96,6.108425,ALLOW
97,5.497583,ALLOW
98,4.947825,ALLOW
99,4.453042,ALLOW
100,4.007738,ALLOW
101,5.606964,ALLOW
102,5.046268,ALLOW
103,6.541641,ALLOW
104,5.887477,ALLOW
105,5.298729,ALLOW
106,6.768856,ALLOW
107,8.091971,ALLOW
108,7.282774,ALLOW
109,8.554496,ALLOW
110,7.699047,ALLOW
111,6.929142,ALLOW
112,8.236228,ALLOW
113,9.412605,ALLOW
114,8.471344,ALLOW
115,7.624210,ALLOW
116,6.861789,ALLOW
117,8.175610,ALLOW
118,7.358049,ALLOW
119,8.622244,ALLOW
120,7.760020,ALLOW
121,6.984018,ALLOW
122,6.285616,ALLOW
123,7.657054,ALLOW
124,8.891349,ALLOW
125,10.002214,ALLOW
126,9.001993,ALLOW
127,8.101793,ALLOW
128,7.291614,ALLOW
129,8.562453,ALLOW
130,9.706207,ALLOW
131,8.735587,ALLOW
132,9.862028,ALLOW
133,8.875825,ALLOW
134,7.988243,ALLOW
135,7.189418,ALLOW
136,6.470477,ALLOW
137,7.823429,ALLOW
138,7.041086,ALLOW
139,8.336977,ALLOW
140,7.503280,ALLOW
141,6.752952,ALLOW
142,6.077657,ALLOW
143,5.469891,ALLOW
144,4.922902,ALLOW
145,4.430612,ALLOW
146,5.987550,ALLOW
147,5.388795,ALLOW
148,4.849916,ALLOW
149,4.364924,ALLOW
150,5.928432,ALLOW
151,5.335589,ALLOW
152,4.802030,ALLOW
153,4.321827,ALLOW
154,5.889644,ALLOW
155,7.300680,ALLOW
156,6.570612,ALLOW
157,5.913551,ALLOW
158,5.322196,ALLOW
159,6.789976,ALLOW
160,6.110978,ALLOW
161,5.499881,ALLOW
162,4.949892,ALLOW
163,4.454903,ALLOW
164,6.009413,ALLOW
165,5.408472,ALLOW
166,6.867624,ALLOW
167,6.180862,ALLOW
168,5.562776,ALLOW
169,7.006498,ALLOW
170,6.305848,ALLOW
171,7.675264,ALLOW
172,6.907737,ALLOW
173,8.216963,ALLOW
174,7.395267,ALLOW
175,8.655740,ALLOW
176,9.790166,ALLOW
177,10.811150,ALLOW
178,9.730035,ALLOW
179,8.757031,ALLOW
180,9.881328,ALLOW
181,8.893195,ALLOW
182,10.003876,ALLOW
183,9.003488,ALLOW
184,10.073884,ALLOW
185,9.066496,ALLOW
186,8.159846,ALLOW
187,7.343861,ALLOW
188,6.609475,ALLOW
189,5.948528,ALLOW
190,5.353675,ALLOW
191,4.818307,ALLOW
192,6.336477,ALLOW
193,5.702829,ALLOW
194,5.132546,ALLOW
195,4.619292,ALLOW
196,6.157362,ALLOW
