seq,decision
0,BLOCK
1,ALLOW
2,ALLOW
3,BLOCK
4,ALLOW
5,BLOCK
6,ALLOW
7,BLOCK
8,BLOCK
9,BLOCK
10,BLOCK
11,BLOCK
12,BLOCK
13,BLOCK
14,BLOCK
15,BLOCK
16,ALLOW
17,BLOCK
18,BLOCK
19,ALLOW
20,BLOCK
21,ALLOW
22,ALLOW
23,BLOCK
24,BLOCK
25,BLOCK
26,BLOCK
27,ALLOW
28,BLOCK
29,BLOCK
30,BLOCK
31,BLOCK
32,BLOCK
33,ALLOW
34,ALLOW
35,ALLOW
36,BLOCK
37,BLOCK
38,BLOCK
39,BLOCK
40,BLOCK
41,BLOCK
42,BLOCK
43,BLOCK
44,ALLOW
45,BLOCK
46,BLOCK
47,BLOCK
48,BLOCK
49,BLOCK
50,BLOCK
51,ALLOW
52,BLOCK
53,BLOCK
54,BLOCK
55,BLOCK
56,BLOCK
57,ALLOW
58,ALLOW
59,ALLOW
60,BLOCK
61,BLOCK
62,ALLOW
63,BLOCK
64,BLOCK
65,BLOCK
66,BLOCK
67,ALLOW
68,ALLOW
69,BLOCK
70,BLOCK
71,ALLOW
72,BLOCK
73,BLOCK
74,ALLOW
75,BLOCK
76,BLOCK
77,ALLOW
78,BLOCK
79,ALLOW
80,BLOCK
81,BLOCK
82,ALLOW
83,ALLOW
84,ALLOW
85,BLOCK
86,BLOCK
87,ALLOW
88,BLOCK
89,BLOCK
90,BLOCK
91,BLOCK
92,BLOCK
93,BLOCK
94,BLOCK
95,ALLOW
96,BLOCK
97,BLOCK
98,BLOCK
99,BLOCK
100,BLOCK
101,BLOCK
102,BLOCK
103,BLOCK
104,ALLOW
105,ALLOW
106,BLOCK
107,BLOCK
108,BLOCK
109,BLOCK
110,BLOCK
111,BLOCK
112,ALLOW
113,BLOCK
114,ALLOW
115,BLOCK
116,BLOCK
117,BLOCK
118,BLOCK
119,BLOCK
120,ALLOW
121,BLOCK
122,BLOCK
123,BLOCK
124,ALLOW
125,BLOCK
126,BLOCK
127,ALLOW
128,ALLOW
129,BLOCK
130,ALLOW
131,ALLOW
132,BLOCK
133,BLOCK
134,BLOCK
135,BLOCK
136,ALLOW
137,BLOCK
138,BLOCK
139,BLOCK
140,BLOCK
141,ALLOW
142,BLOCK
143,BLOCK
144,BLOCK
145,BLOCK
146,BLOCK
147,BLOCK
148,BLOCK
149,BLOCK
150,BLOCK
151,ALLOW
152,ALLOW
153,BLOCK
154,BLOCK
155,ALLOW
156,BLOCK
157,BLOCK
158,BLOCK
159,BLOCK
160,ALLOW
161,BLOCK
162,ALLOW
163,ALLOW
164,BLOCK
165,BLOCK
166,ALLOW
167,BLOCK
168,BLOCK
169,ALLOW
170,BLOCK
171,BLOCK
172,BLOCK
173,BLOCK
174,BLOCK
175,BLOCK
176,BLOCK
177,BLOCK
178,BLOCK
179,BLOCK
180,BLOCK
181,BLOCK
182,BLOCK
183,BLOCK
184,ALLOW
185,BLOCK
186,ALLOW
187,ALLOW
188,BLOCK
189,BLOCK
190,ALLOW
191,ALLOW
192,BLOCK
193,BLOCK
194,BLOCK
195,BLOCK
196,BLOCK
197,ALLOW
198,ALLOW
199,BLOCK
200,BLOCK
201,BLOCK
202,ALLOW
203,BLOCK
204,BLOCK
205,BLOCK
206,BLOCK
207,BLOCK
208,BLOCK
209,BLOCK
210,BLOCK
211,BLOCK
212,ALLOW
213,BLOCK
214,BLOCK
215,BLOCK
216,BLOCK
217,BLOCK
218,BLOCK
219,BLOCK
220,BLOCK
221,BLOCK
222,ALLOW
223,ALLOW
224,ALLOW
225,ALLOW
226,BLOCK
227,ALLOW
228,BLOCK
229,BLOCK
230,BLOCK
231,ALLOW
232,BLOCK
233,BLOCK
234,BLOCK
235,BLOCK
236,ALLOW
237,BLOCK
238,BLOCK
239,BLOCK
240,ALLOW
241,BLOCK
242,BLOCK
243,BLOCK
244,BLOCK
245,ALLOW
246,BLOCK
247,BLOCK
248,BLOCK
249,BLOCK
250,BLOCK
251,BLOCK
252,BLOCK
253,ALLOW
254,ALLOW
255,BLOCK
256,BLOCK
257,BLOCK
258,BLOCK
259,BLOCK
260,BLOCK
261,BLOCK
262,BLOCK
263,BLOCK
264,BLOCK
265,BLOCK
266,BLOCK
267,BLOCK
268,BLOCK
269,BLOCK
270,BLOCK
271,ALLOW
272,BLOCK
273,BLOCK
274,BLOCK
275,ALLOW
276,ALLOW
277,BLOCK
278,BLOCK
279,BLOCK
280,BLOCK
281,ALLOW
282,BLOCK
283,BLOCK
284,BLOCK
285,BLOCK
286,ALLOW
287,BLOCK
288,BLOCK
289,ALLOW
290,BLOCK
291,BLOCK
292,BLOCK
293,BLOCK
294,BLOCK
295,BLOCK
296,BLOCK
297,ALLOW
298,BLOCK
299,BLOCK
300,ALLOW
301,ALLOW
302,BLOCK
303,BLOCK
304,ALLOW
305,ALLOW
306,BLOCK
307,BLOCK
308,ALLOW
309,BLOCK
310,BLOCK
311,BLOCK
312,ALLOW
313,ALLOW
314,BLOCK
315,BLOCK
316,ALLOW
317,BLOCK
318,BLOCK
319,BLOCK
320,BLOCK
321,BLOCK
322,BLOCK
323,BLOCK
324,ALLOW
325,BLOCK
326,ALLOW
327,BLOCK
328,ALLOW
329,BLOCK
330,BLOCK
331,ALLOW
332,BLOCK
333,ALLOW
334,BLOCK
335,ALLOW
336,BLOCK
337,BLOCK
338,BLOCK
339,BLOCK
340,BLOCK
341,ALLOW
342,BLOCK
343,ALLOW
344,BLOCK
345,ALLOW
346,BLOCK
347,ALLOW
348,BLOCK
349,BLOCK
350,BLOCK
351,BLOCK
352,BLOCK
353,BLOCK
354,BLOCK
355,BLOCK
356,BLOCK
357,ALLOW
358,BLOCK
359,ALLOW
360,BLOCK
361,BLOCK
362,ALLOW
363,BLOCK
364,ALLOW
365,BLOCK
366,BLOCK
367,BLOCK
368,BLOCK
369,BLOCK
370,BLOCK
371,ALLOW
372,BLOCK
373,BLOCK
374,ALLOW
375,BLOCK
376,BLOCK
377,BLOCK
378,ALLOW
379,BLOCK
380,ALLOW
381,ALLOW
382,ALLOW
383,BLOCK
384,ALLOW
385,ALLOW
386,ALLOW
387,ALLOW
388,BLOCK
389,ALLOW
390,BLOCK
391,BLOCK
392,BLOCK
393,BLOCK
394,ALLOW
