seq,decision
0,BLOCK
1,BLOCK
2,ALLOW
3,BLOCK
4,BLOCK
5,BLOCK
6,BLOCK
7,ALLOW
8,BLOCK
9,ALLOW
10,ALLOW
11,ALLOW
12,ALLOW
13,ALLOW
14,ALLOW
15,ALLOW
16,ALLOW
17,BLOCK
18,BLOCK
19,ALLOW
20,BLOCK
21,BLOCK
22,BLOCK
23,ALLOW
24,ALLOW
25,BLOCK
26,ALLOW
27,BLOCK
28,ALLOW
29,ALLOW
30,ALLOW
31,BLOCK
32,ALLOW
33,ALLOW
34,BLOCK
35,BLOCK
36,ALLOW
37,ALLOW
38,ALLOW
39,ALLOW
40,ALLOW
41,BLOCK
42,BLOCK
43,ALLOW
44,BLOCK
45,ALLOW
46,BLOCK
47,ALLOW
48,ALLOW
49,ALLOW
50,ALLOW
51,ALLOW
52,BLOCK
53,ALLOW
54,ALLOW
55,ALLOW
56,ALLOW
57,BLOCK
58,BLOCK
59,BLOCK
60,ALLOW
61,BLOCK
62,BLOCK
63,ALLOW
64,ALLOW
65,BLOCK
66,ALLOW
67,ALLOW
68,ALLOW
69,BLOCK
70,BLOCK
71,BLOCK
72,ALLOW
73,ALLOW
74,BLOCK
75,BLOCK
76,ALLOW
77,BLOCK
78,BLOCK
79,ALLOW
80,ALLOW
81,ALLOW
82,ALLOW
83,BLOCK
84,ALLOW
85,BLOCK
86,ALLOW
87,ALLOW
88,ALLOW
89,BLOCK
90,ALLOW
91,ALLOW
92,ALLOW
93,BLOCK
94,ALLOW
95,BLOCK
96,BLOCK
97,BLOCK
98,BLOCK
99,ALLOW
100,BLOCK
101,ALLOW
102,BLOCK
103,BLOCK
104,BLOCK
105,ALLOW
106,BLOCK
107,BLOCK
108,ALLOW
109,BLOCK
110,ALLOW
111,ALLOW
112,BLOCK
113,ALLOW
114,ALLOW
115,ALLOW
116,ALLOW
117,ALLOW
118,BLOCK
119,ALLOW
120,ALLOW
121,BLOCK
122,ALLOW
123,ALLOW
124,ALLOW
125,BLOCK
126,ALLOW
127,BLOCK
128,ALLOW
129,BLOCK
130,ALLOW
131,BLOCK
132,BLOCK
133,ALLOW
134,ALLOW
135,ALLOW
136,ALLOW
137,BLOCK
138,ALLOW
139,BLOCK
140,ALLOW
141,BLOCK
142,ALLOW
143,ALLOW
144,BLOCK
145,BLOCK
146,BLOCK
147,BLOCK
148,ALLOW
149,BLOCK
150,ALLOW
151,BLOCK
152,ALLOW
153,ALLOW
154,ALLOW
155,ALLOW
156,ALLOW
157,BLOCK
158,ALLOW
159,ALLOW
160,BLOCK
161,ALLOW
162,BLOCK
163,BLOCK
164,ALLOW
165,ALLOW
166,ALLOW
167,BLOCK
168,ALLOW
169,BLOCK
170,BLOCK
171,ALLOW
172,BLOCK
173,ALLOW
174,ALLOW
175,ALLOW
176,ALLOW
177,BLOCK
178,BLOCK
179,BLOCK
180,BLOCK
181,BLOCK
182,BLOCK
183,ALLOW
184,BLOCK
185,ALLOW
186,BLOCK
187,ALLOW
188,BLOCK
189,BLOCK
190,ALLOW
191,BLOCK
192,ALLOW
193,ALLOW
194,BLOCK
195,ALLOW
196,ALLOW
197,ALLOW
198,BLOCK
199,BLOCK
200,ALLOW
201,ALLOW
202,ALLOW
203,BLOCK
204,ALLOW
205,ALLOW
206,ALLOW
207,BLOCK
208,BLOCK
209,ALLOW
210,ALLOW
211,BLOCK
212,ALLOW
213,ALLOW
214,ALLOW
215,ALLOW
216,ALLOW
217,BLOCK
218,BLOCK
219,ALLOW
220,BLOCK
221,ALLOW
222,BLOCK
223,BLOCK
224,ALLOW
225,ALLOW
226,ALLOW
227,ALLOW
228,BLOCK
229,BLOCK
230,BLOCK
231,BLOCK
232,ALLOW
233,BLOCK
234,ALLOW
235,BLOCK
236,ALLOW
237,BLOCK
238,BLOCK
239,ALLOW
240,BLOCK
241,BLOCK
242,BLOCK
243,ALLOW
244,BLOCK
245,ALLOW
246,BLOCK
247,ALLOW
248,ALLOW
249,ALLOW
250,BLOCK
251,ALLOW
252,ALLOW
253,BLOCK
254,BLOCK
255,BLOCK
256,ALLOW
257,ALLOW
258,BLOCK
259,ALLOW
260,BLOCK
261,ALLOW
262,BLOCK
263,ALLOW
264,BLOCK
265,ALLOW
266,ALLOW
267,BLOCK
268,BLOCK
269,ALLOW
270,ALLOW
271,BLOCK
272,BLOCK
273,ALLOW
274,BLOCK
275,ALLOW
276,ALLOW
277,ALLOW
278,BLOCK
279,ALLOW
280,ALLOW
281,ALLOW
282,BLOCK
283,BLOCK
284,ALLOW
285,BLOCK
286,BLOCK
287,ALLOW
288,ALLOW
289,BLOCK
290,BLOCK
291,ALLOW
292,ALLOW
293,ALLOW
294,ALLOW
295,ALLOW
296,ALLOW
297,ALLOW
298,ALLOW
299,ALLOW
300,ALLOW
301,ALLOW
302,ALLOW
303,ALLOW
304,ALLOW
305,BLOCK
306,ALLOW
307,BLOCK
308,BLOCK
309,ALLOW
310,ALLOW
311,BLOCK
312,BLOCK
313,ALLOW
314,BLOCK
315,ALLOW
316,ALLOW
317,BLOCK
318,ALLOW
319,BLOCK
320,ALLOW
321,ALLOW
322,ALLOW
323,ALLOW
324,BLOCK
325,ALLOW
326,ALLOW
327,BLOCK
328,BLOCK
329,BLOCK
330,ALLOW
331,BLOCK
332,BLOCK
333,BLOCK
334,BLOCK
335,BLOCK
336,BLOCK
337,BLOCK
338,ALLOW
339,ALLOW
340,BLOCK
341,ALLOW
342,BLOCK
343,BLOCK
344,ALLOW
345,ALLOW
346,BLOCK
347,BLOCK
348,ALLOW
349,ALLOW
350,BLOCK
351,ALLOW
352,BLOCK
353,ALLOW
354,ALLOW
355,ALLOW
356,ALLOW
357,ALLOW
358,BLOCK
359,ALLOW
360,BLOCK
361,ALLOW
362,ALLOW
363,ALLOW
364,ALLOW
365,ALLOW
366,BLOCK
367,ALLOW
368,BLOCK
369,ALLOW
370,BLOCK
371,BLOCK
372,ALLOW
373,ALLOW
374,BLOCK
375,BLOCK
376,ALLOW
377,ALLOW
378,ALLOW
379,BLOCK
380,ALLOW
381,ALLOW
382,BLOCK
383,ALLOW
384,ALLOW
385,BLOCK
386,BLOCK
387,BLOCK
388,ALLOW
389,BLOCK
390,BLOCK
391,ALLOW
392,ALLOW
393,ALLOW
394,ALLOW
395,ALLOW
396,BLOCK
397,ALLOW
398,ALLOW
399,ALLOW
400,ALLOW
401,ALLOW
402,ALLOW
403,BLOCK
404,ALLOW
405,BLOCK
406,ALLOW
407,BLOCK
408,ALLOW
409,ALLOW
410,BLOCK
411,ALLOW
412,ALLOW
413,ALLOW
414,ALLOW
415,ALLOW
416,ALLOW
417,BLOCK
418,ALLOW
419,ALLOW
420,BLOCK
421,BLOCK
422,ALLOW
423,ALLOW
424,ALLOW
425,BLOCK
426,BLOCK
427,BLOCK
428,BLOCK
429,BLOCK
430,ALLOW
431,ALLOW
432,ALLOW
433,ALLOW
434,ALLOW
435,ALLOW
436,ALLOW
437,ALLOW
438,ALLOW
439,BLOCK
440,ALLOW
441,ALLOW
442,ALLOW
443,ALLOW
444,BLOCK
445,BLOCK
446,BLOCK
447,ALLOW
448,ALLOW
449,BLOCK
450,ALLOW
451,BLOCK
452,BLOCK
453,ALLOW
454,BLOCK
455,ALLOW
456,ALLOW
457,ALLOW
458,ALLOW
459,BLOCK
460,BLOCK
461,BLOCK
462,ALLOW
463,ALLOW
464,BLOCK
465,BLOCK
466,ALLOW
467,ALLOW
468,ALLOW
469,ALLOW
470,ALLOW
471,ALLOW
472,ALLOW
473,ALLOW
474,BLOCK
475,ALLOW
476,ALLOW
477,ALLOW
478,ALLOW
479,ALLOW
480,ALLOW
481,BLOCK
482,BLOCK
483,ALLOW
484,BLOCK
485,BLOCK
486,BLOCK
487,ALLOW
488,BLOCK
489,BLOCK
490,ALLOW
491,BLOCK
492,ALLOW
493,ALLOW
494,BLOCK
495,BLOCK
496,BLOCK
497,BLOCK
498,ALLOW
499,BLOCK
